"","Year","Team","G","MP","NFGM","NFGA","PCTFG","N3PM","N3PA","PCT3P","N2PM","N2PA","PCT2P","NFTM","NFTA","PCTFT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"37","2014-15","San Antonio Spurs*",82,243.4,39.1,83.6,46.8,8.3,22.5,36.7,30.9,61.1,50.5,16.7,21.4,78,9.8,33.8,43.6,24.4,8,5.4,14,19.1,103.2
"38","2014-15","Cleveland Cavaliers*",82,241.2,37.7,82.2,45.8,10.1,27.5,36.7,27.6,54.7,50.4,17.7,23.6,75.1,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1
"39","2014-15","Portland Trail Blazers*",82,242.1,38.7,86,45,9.8,27.2,36.2,28.9,58.8,49.1,15.5,19.4,80.1,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
"40","2014-15","Atlanta Hawks*",82,240.6,38.1,81.7,46.6,10,26.2,38,28.1,55.5,50.6,16.5,21.2,77.8,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
"41","2014-15","Phoenix Suns",82,242.4,38.8,85.8,45.2,8.5,25,34.1,30.2,60.9,49.7,16.4,21.5,76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4
"42","2014-15","Denver Nuggets",82,242.4,37.8,87.3,43.3,8,24.8,32.5,29.7,62.5,47.6,17.8,24.3,73.4,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23,101.5
"43","2014-15","Boston Celtics*",82,242.4,38.9,87.9,44.3,8,24.6,32.7,30.9,63.3,48.8,15.4,20.5,75.4,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4
"44","2014-15","Sacramento Kings",82,242.1,36.7,80.7,45.5,5.6,16.5,34.1,31.1,64.2,48.4,22.3,29.3,76.2,10.9,33.3,44.2,20.3,6.7,4,16.3,20.7,101.3
"45","2014-15","Chicago Bulls*",82,242.4,36.6,82.9,44.2,7.9,22.3,35.3,28.7,60.6,47.4,19.7,25.2,78.3,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8
"46","2014-15","New Orleans Pelicans*",82,241.2,37.9,82.9,45.7,7.1,19.3,37,30.8,63.6,48.4,16.4,21.8,75.1,11.5,32,43.5,22,6.7,6.2,13.3,18.7,99.4
"47","2014-15","Washington Wizards*",82,243.4,38.3,82.8,46.2,6.1,16.8,36,32.2,66,48.8,15.9,21.4,74.2,10.5,34.2,44.7,24,7.3,4.6,15,20.8,98.5
"48","2014-15","Detroit Pistons",82,241.8,37.1,85.8,43.2,8.6,24.9,34.4,28.5,60.9,46.8,15.8,22.4,70.3,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19,98.5
"49","2014-15","Los Angeles Lakers",82,243,37.2,85.6,43.5,6.5,18.9,34.4,30.8,66.8,46.1,17.5,23.6,74.1,11.6,32.3,43.9,20.9,7,4.5,13.2,21.2,98.5
"50","2014-15","Memphis Grizzlies*",82,242.7,37.8,82.5,45.8,5.2,15.2,33.9,32.6,67.3,48.5,17.6,22.8,77.3,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
